YUNUS AAAAAAAAAAAAA GET /dashboard 304  - 2581.137 ms {} ::1
YUNUS AAAAAAAAAAAAA GET /dashboard 304  - 1193.656 ms {} ::1
YUNUS AAAAAAAAAAAAA GET /duyuru 200 30272 - 316.233 ms {} ::1
YUNUS AAAAAAAAAAAAA GET /duyuru 200 30272 - 674.166 ms {} ::1
YUNUS AAAAAAAAAAAAA POST /ajax/dyndata 200 84 - 33.070 ms {"kdata":{"where":{"id":"1"},"hash":"32b2159273d22b57c7361f18461e792a"}} ::1
YUNUS AAAAAAAAAAAAA POST /ajax/dyndata 200 84 - 30.461 ms {"kdata":{"where":{"id":"5"},"hash":"32b2159273d22b57c7361f18461e792a"}} ::1
YUNUS AAAAAAAAAAAAA POST /ajax/dyndata 200 84 - 8.171 ms {"kdata":{"where":{"id":"2"},"hash":"32b2159273d22b57c7361f18461e792a"}} ::1
YUNUS AAAAAAAAAAAAA POST /ajax/dyndata 200 87 - 27.847 ms {"kdata":{"where":{"id":"7"},"hash":"32b2159273d22b57c7361f18461e792a"}} ::1
YUNUS AAAAAAAAAAAAA POST /ajax/dyndata 200 84 - 26.150 ms {"kdata":{"where":{"id":"2"},"hash":"32b2159273d22b57c7361f18461e792a"}} ::1
YUNUS AAAAAAAAAAAAA GET /duyuru 200 30574 - 379.167 ms {} ::1
YUNUS AAAAAAAAAAAAA GET /duyuru 200 30574 - 333.119 ms {} ::1
YUNUS AAAAAAAAAAAAA GET /duyuru 200 30578 - 671.436 ms {} ::1
YUNUS AAAAAAAAAAAAA GET /duyuru 200 30688 - 361.522 ms {} ::1
YUNUS AAAAAAAAAAAAA POST /ajax/dyndata 200 87 - 13.746 ms {"kdata":{"where":{"id":"7"},"hash":"600fe65653c576a0fb725c69fa3978ff"}} ::1
YUNUS AAAAAAAAAAAAA GET /duyuru 200 30875 - 336.280 ms {} ::1
YUNUS AAAAAAAAAAAAA GET /duyuru 200 30739 - 629.559 ms {} ::1
YUNUS AAAAAAAAAAAAA GET /duyuru 200 30912 - 547.585 ms {} ::1
YUNUS AAAAAAAAAAAAA GET /duyuru 200 30912 - 339.070 ms {} ::1
YUNUS AAAAAAAAAAAAA GET /duyuru 500 1564 - 111.802 ms {} ::1
YUNUS AAAAAAAAAAAAA GET /duyuru 200 31758 - 329.259 ms {} ::1
YUNUS AAAAAAAAAAAAA GET /duyuru 200 30875 - 450.991 ms {} ::1
YUNUS AAAAAAAAAAAAA GET /duyuru 200 30883 - 422.977 ms {} ::1
YUNUS AAAAAAAAAAAAA POST /ajax/dyndata 200 87 - 12.869 ms {"kdata":{"where":{"id":"7"},"hash":"3a1de158a0a8dbdef50c4df636196017"}} ::1
YUNUS AAAAAAAAAAAAA GET /duyuru 200 31339 - 558.385 ms {} ::1
YUNUS AAAAAAAAAAAAA GET /duyuru 200 31351 - 425.553 ms {} ::1
